system,truth_nm,estimate_nm,confidence,repeat
dual_single_helix,432.0,430.0,0.2873529990519596,0
single_double_helix,432.0,430.0,0.48249341486211694,0
dual_single_helix,432.0,430.0,0.2953960472155555,1
single_double_helix,432.0,430.0,0.4688879422864085,1
dual_single_helix,432.0,430.0,0.30557335931926377,2
single_double_helix,432.0,430.0,0.46559703392524615,2
dual_single_helix,432.0,430.0,0.3061851356019677,3
single_double_helix,432.0,430.0,0.4991625051568051,3
dual_single_helix,432.0,430.0,0.27424892746140217,4
single_double_helix,432.0,430.0,0.5026937368630012,4
dual_single_helix,432.0,430.0,0.3541879169354423,5
single_double_helix,432.0,430.0,0.44718607977121544,5
dual_single_helix,432.0,430.0,0.282185975111824,6
single_double_helix,432.0,430.0,0.47700017821511753,6
dual_single_helix,432.0,430.0,0.2663892327929112,7
single_double_helix,432.0,430.0,0.483921271129489,7
dual_single_helix,432.0,430.0,0.3118349094324672,8
single_double_helix,432.0,430.0,0.474526725435911,8
dual_single_helix,432.0,430.0,0.2905069619808111,9
single_double_helix,432.0,430.0,0.46993852433271394,9
dual_single_helix,432.0,430.0,0.3116272662293087,10
single_double_helix,432.0,430.0,0.46090700645509014,10
dual_single_helix,432.0,430.0,0.2913718295719198,11
single_double_helix,432.0,430.0,0.49409084945233717,11
dual_single_helix,432.0,430.0,0.2871877507512421,12
single_double_helix,432.0,430.0,0.5169102175273723,12
dual_single_helix,432.0,430.0,0.31315077630969645,13
single_double_helix,432.0,430.0,0.455745772023654,13
dual_single_helix,432.0,430.0,0.3034981580136535,14
single_double_helix,432.0,430.0,0.5017676590395905,14
dual_single_helix,432.0,430.0,0.31296124153516913,15
single_double_helix,432.0,430.0,0.4588372623282669,15
dual_single_helix,432.0,430.0,0.32015984370189887,16
single_double_helix,432.0,430.0,0.49100475137622607,16
dual_single_helix,432.0,430.0,0.3345818208634178,17
single_double_helix,432.0,430.0,0.47259183810771505,17
dual_single_helix,432.0,430.0,0.3286959043368998,18
single_double_helix,432.0,430.0,0.49189749962567314,18
dual_single_helix,432.0,430.0,0.30816816385133483,19
single_double_helix,432.0,430.0,0.5078374476867075,19
dual_single_helix,487.0,485.0,0.4377183549077006,0
single_double_helix,487.0,485.0,0.5742722611746156,0
dual_single_helix,487.0,485.0,0.42134291800342705,1
single_double_helix,487.0,485.0,0.5618240152487778,1
dual_single_helix,487.0,485.0,0.4594415399129859,2
single_double_helix,487.0,485.0,0.5566613177725521,2
dual_single_helix,487.0,485.0,0.4424824996660149,3
single_double_helix,487.0,485.0,0.5757617057002087,3
dual_single_helix,487.0,485.0,0.4541512512884076,4
single_double_helix,487.0,485.0,0.572119127462298,4
dual_single_helix,487.0,485.0,0.42364420349365395,5
single_double_helix,487.0,485.0,0.56003903871638,5
dual_single_helix,487.0,485.0,0.4350585187766939,6
single_double_helix,487.0,485.0,0.6020913426395345,6
dual_single_helix,487.0,485.0,0.4322086915931216,7
single_double_helix,487.0,485.0,0.5808535474558797,7
dual_single_helix,487.0,485.0,0.4448169615006134,8
single_double_helix,487.0,485.0,0.566643297336395,8
dual_single_helix,487.0,485.0,0.4137049874066624,9
single_double_helix,487.0,485.0,0.5497189160563654,9
dual_single_helix,487.0,485.0,0.4513646560772606,10
single_double_helix,487.0,485.0,0.5597901794364425,10
dual_single_helix,487.0,485.0,0.4406728739274468,11
single_double_helix,487.0,485.0,0.5415079727811333,11
dual_single_helix,487.0,485.0,0.4487896936947613,12
single_double_helix,487.0,485.0,0.5791790989206987,12
dual_single_helix,487.0,485.0,0.4473273556906497,13
