system,truth_nm,estimate_nm,error_nm,confidence,repeat
double_helix,432.0,431.84992151488893,-0.15007848511106658,0.09160349567715637,0
best_single_helix,432.0,431.8350273999217,-0.16497260007827208,0.06361967757875445,0
original_dual_plus_minus,432.0,431.84016687929886,-0.15983312070113698,0.04634126616486131,0
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.2634653390096,-0.7365346609904009,0.056141658360635185,0
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.86202585525524,-0.13797414474476,0.035247218239381185,0
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.57726906072867,-0.4227309392713323,0.041661234102554914,0
double_helix,432.0,431.6284765550244,-0.371523444975594,0.11591851086429787,1
best_single_helix,432.0,431.43763922606144,-0.5623607739385648,0.09546380038107757,1
original_dual_plus_minus,432.0,431.83633037800746,-0.16366962199253976,0.049781363150732685,1
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.44969357564156,-0.550306424358439,0.04918491507224471,1
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.7481848268195,-0.2518151731804892,0.03973721712385073,1
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.1174635645509,-0.882536435449083,0.06298013959185227,1
double_helix,432.0,431.5321457773312,-0.46785422266879095,0.12288407655591947,2
best_single_helix,432.0,431.79169305836456,-0.20830694163544194,0.06372310439904547,2
original_dual_plus_minus,432.0,431.77896857354534,-0.22103142645465823,0.05220615520574285,2
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.93031869970423,-0.06968130029576969,0.024347150484968078,2
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.81614406223287,-0.1838559377671345,0.038830900038140374,2
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.43627750234896,-0.5637224976510424,0.04712525808710873,2
double_helix,432.0,431.79547555526034,-0.20452444473966125,0.10228548185584642,3
best_single_helix,432.0,431.7454623655963,-0.2545376344036754,0.07176509948729506,3
original_dual_plus_minus,432.0,431.7142451064727,-0.28575489352732575,0.054076931323437986,3
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.55164618371555,-0.4483538162844525,0.04179795348164099,3
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.79163923617426,-0.20836076382573765,0.03901942477631997,3
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.4762745273316,-0.5237254726683886,0.04840970322335783,3
double_helix,432.0,431.72890410089724,-0.271095899102761,0.09920859845791079,4
best_single_helix,432.0,431.78228004253214,-0.21771995746786388,0.06789900958483769,4
original_dual_plus_minus,432.0,431.9412724472493,-0.0587275527507245,0.040072311660927014,4
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.2651819316242,-0.7348180683757732,0.05394233143913757,4
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.2701830541711,-0.7298169458288726,0.06947905889154206,4
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.5853601904566,-0.4146398095434165,0.04041364355549759,4
double_helix,432.0,431.97386404391005,-0.02613595608994501,0.07726005923373729,5
best_single_helix,432.0,431.63147767002226,-0.36852232997773626,0.0782163286946165,5
original_dual_plus_minus,432.0,432.01985931495295,0.0198593149529529,0.03729250063086189,5
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.62619057378953,-0.373809426210471,0.037309872796179415,5
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,432.10454199700825,0.10454199700825484,0.021796352614848212,5
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.57573986699174,-0.4242601330082607,0.04199852189654103,5
double_helix,432.0,431.6728666981069,-0.3271333018931273,0.11672246224419147,6
best_single_helix,432.0,431.2609972583681,-0.7390027416319072,0.12049111875034955,6
original_dual_plus_minus,432.0,431.6192592651865,-0.38074073481351434,0.06698766311303439,6
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.5011039831128,-0.4988960168872154,0.04636796139593468,6
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.7786352001604,-0.22136479983959134,0.04170349465911857,6
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.46767703888435,-0.5323229611156535,0.04373609822681319,6
double_helix,432.0,431.9101611339181,-0.08983886608189096,0.08480228745917881,7
best_single_helix,432.0,431.8056282053342,-0.19437179466581256,0.06404396419221728,7
original_dual_plus_minus,432.0,432.1477127869027,0.1477127869026731,0.02603000949989684,7
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.93782313178167,-0.06217686821833013,0.025868798497734602,7
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.6301411732294,-0.36985882677061,0.05130547517062795,7
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.78198731187996,-0.21801268812004082,0.031194654850185022,7
double_helix,432.0,431.79535984565706,-0.2046401543429397,0.09789565057080246,8
best_single_helix,432.0,431.4337290896116,-0.5662709103884254,0.09337347800370747,8
original_dual_plus_minus,432.0,431.9563142913908,-0.04368570860918908,0.041843325675351296,8
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.695899538912,-0.30410046108801225,0.03617998602486192,8
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.7526464514225,-0.24735354857750735,0.04485825582609312,8
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.5005645682996,-0.4994354317004195,0.04474976761945924,8
double_helix,432.0,431.67871112945403,-0.32128887054597044,0.12760861194596315,9
best_single_helix,432.0,431.34604188098854,-0.6539581190114632,0.10715077750034976,9
original_dual_plus_minus,432.0,432.01134366060484,0.011343660604836714,0.03166117785124125,9
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.59905886405033,-0.4009411359496653,0.040147859787365854,9
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.65783190772703,-0.3421680922729706,0.04724726989463145,9
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.404863623877,-0.59513637612298,0.046444208683596666,9
double_helix,432.0,431.5411646204814,-0.45883537951857534,0.13816021042145138,10
best_single_helix,432.0,431.5977906677813,-0.40220933221871746,0.08911801498161925,10
original_dual_plus_minus,432.0,432.0432972836776,0.043297283677588894,0.03555508733296078,10
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.41203734765645,-0.587962652343549,0.05226076733173287,10
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.6749287832804,-0.32507121671960704,0.042171504100542365,10
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.27201163270945,-0.7279883672905498,0.05365465285803522,10
double_helix,432.0,431.76594050686685,-0.23405949313314522,0.11566863468081301,11
best_single_helix,432.0,431.5652321239724,-0.4347678760275926,0.0796324258788756,11
original_dual_plus_minus,432.0,431.8200463296934,-0.17995367030658826,0.04871596017596359,11
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.1677692604667,-0.8322307395333155,0.06047784066010463,11
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.37427666388186,-0.625723336118142,0.06594730328741609,11
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.2408664503011,-0.7591335496989018,0.05659758801032455,11
double_helix,432.0,431.8917146892424,-0.10828531075759429,0.08458477227982417,12
best_single_helix,432.0,431.9056315512559,-0.09436844874409189,0.05465426582348379,12
original_dual_plus_minus,432.0,431.72827482461827,-0.27172517538173224,0.0619970026496453,12
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.48906048786915,-0.5109395121308467,0.04310313262944238,12
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.4987803076678,-0.5012196923321994,0.052725479694414094,12
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.5264229265331,-0.47357707346691313,0.04446249008243225,12
double_helix,432.0,431.48025300042934,-0.519746999570657,0.1546203237775584,13
best_single_helix,432.0,431.4740094270727,-0.5259905729272987,0.09805317760876471,13
original_dual_plus_minus,432.0,431.69069708544043,-0.3093029145595665,0.05636755046524573,13
